Price,Open,High,Low,Close,ATR,ATR_TICKS
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,,
Date,,,,,,
2024-09-23,20040.0,20164.0,19955.25,20080.0,360.0707310267857,1440.28
2024-09-24,20063.25,20214.75,19953.0,20167.75,358.12430245535717,1432.5
2024-09-25,20183.75,20271.0,20064.25,20192.0,349.80287388392856,1399.21
2024-09-26,20242.0,20538.0,20188.0,20346.25,329.62430245535717,1318.5
2024-09-27,20345.0,20395.75,20173.0,20221.5,320.6421595982143,1282.57
2024-09-30,20198.5,20287.0,20056.0,20261.25,315.9814453125,1263.93
2024-10-01,20234.25,20331.75,19818.0,19975.0,299.3564453125,1197.43
2024-10-02,19975.25,20090.25,19833.5,20009.75,296.37430245535717,1185.5
2024-10-03,20055.5,20113.75,19852.0,19990.25,302.28501674107144,1209.14
2024-10-04,19965.5,20263.75,19941.5,20227.25,307.6421595982143,1230.57
2024-10-07,20220.0,20267.25,19948.0,19992.75,310.83858816964283,1243.35
2024-10-08,20025.75,20329.5,19902.5,20298.5,317.83858816964283,1271.35
2024-10-09,20294.25,20482.75,20196.0,20463.5,294.24930245535717,1177.0
2024-10-10,20445.25,20508.25,20301.5,20429.75,301.6064453125,1206.43
2024-10-11,20435.0,20494.25,20314.75,20450.0,289.0,1156.0
2024-10-14,20432.5,20680.0,20383.25,20619.25,291.5,1166.0
2024-10-15,20638.75,20659.25,20254.0,20342.0,305.67857142857144,1222.71
2024-10-16,20334.5,20398.5,20206.25,20349.5,294.4107142857143,1177.64
2024-10-17,20328.0,20594.75,20276.75,20368.0,301.2142857142857,1204.86
2024-10-18,20384.0,20529.75,20320.75,20483.5,299.64285714285717,1198.57
2024-10-21,20496.25,20554.5,20343.75,20519.5,278.0,1112.0
2024-10-22,20536.5,20602.25,20360.25,20542.0,276.94642857142856,1107.79
2024-10-23,20521.0,20542.5,20079.0,20220.5,291.35714285714283,1165.43
2024-10-24,20294.25,20428.5,20261.75,20380.25,283.19642857142856,1132.79
2024-10-25,20388.5,20707.25,20364.0,20498.75,284.9107142857143,1139.64
2024-10-28,20525.5,20676.5,20486.0,20497.0,268.01785714285717,1072.07
2024-10-29,20513.0,20760.25,20432.25,20696.5,270.9642857142857,1083.86
2024-10-30,20734.0,20788.5,20472.5,20534.75,278.76785714285717,1115.07
2024-10-31,20482.0,20495.75,20008.5,20021.75,303.5357142857143,1214.14
2024-11-01,20071.0,20288.0,20017.0,20153.25,301.69642857142856,1206.79
2024-11-04,20138.0,20248.5,20013.0,20086.0,289.57142857142856,1158.29
2024-11-05,20130.75,20385.5,20041.75,20341.75,300.39285714285717,1201.57
2024-11-06,20360.5,20935.25,20323.5,20894.0,321.375,1285.5
2024-11-07,20923.5,21253.0,20861.5,21224.75,334.4107142857143,1337.64
2024-11-08,21224.25,21265.0,21121.75,21231.25,329.5892857142857,1318.36
2024-11-11,21249.75,21340.75,21098.25,21217.75,329.625,1318.5
2024-11-12,21221.0,21251.75,21054.75,21189.5,310.5892857142857,1242.36
2024-11-13,21178.0,21268.5,21056.5,21159.5,310.875,1243.5
2024-11-14,21167.0,21190.25,20950.5,21011.75,303.48214285714283,1213.93
2024-11-15,20977.5,20981.5,20405.25,20493.75,333.19642857142856,1332.79
2024-11-18,20504.0,20724.25,20476.0,20633.5,327.5,1310.0
2024-11-19,20633.25,20792.5,20382.5,20767.75,334.2142857142857,1336.86
2024-11-20,20762.25,20843.25,20477.0,20749.0,322.7857142857143,1291.14
2024-11-21,20738.0,20905.75,20514.25,20829.5,331.39285714285717,1325.57
2024-11-22,20794.0,20880.0,20693.25,20849.75,327.9107142857143,1311.64
2024-11-25,20935.0,21081.0,20780.25,20880.25,324.8392857142857,1299.36
